PGName,Ratings,locality,City
Green Homes Pg,3.3,6th C Main Jayanagar 4th Block,Bangalore
Reddys Residency,3.6,Vidya Jayanagar 4th T Block,Bangalore
AANANAYA PG FOR WOMEN AND GIRLS,3.9,Richmond Road Shanthinagar,Bangalore
Udupi Upahar Pg For Men,3.9,Colony Banashankari 1st Stage,Bangalore
My Home Pg For Men,3.7,T.R Nagar Basavanagudi,Bangalore
Eterna Pg Accommadation,4.6,4th Main Road Basavanagudi,Bangalore
Misbah Homestay,4.2,Lalbagh Fort Road V V Puram,Bangalore
Vaishnavi Paying Guest,4.4,2nd Cross Jp Nagar,Bangalore
Sri Jayadurga Mens Pg,4.2,No.90/2 Vijayanagar,Bangalore
Pankaja Paying Guest,4.7,Cross Banashankari 2nd Stage,Bangalore
MMM Paying Guest,3.2,1st Phase Chandra Layout,Bangalore
Sri Nimishamba P G For Girls,3.6,6th Cross Vasanth Nagar,Bangalore
Sri Lakshmi Pg For Ladies,4.3,Seshadripuram,Bangalore
AANANAYA PG FOR WOMEN AND GIRLS,3.9,Richmond Road Shanthinagar,Bangalore
Basaveshwara P.G.,4.6,MC Layout Vijayanagar,Bangalore
Sri Ram Sri Lakshmi Pg,3.7,Pg For Jayanagar 5th Block,Bangalore
Nest Stay Home,3.8,Main Road Basavanagudi,Bangalore
Annaporeshwari Paying Guest,3.8,4th Block Rajajinagar,Bangalore
Sri Lakshmi Ladies Pg,3.6,Thyagaraja Nagar Netaji Road,Bangalore
Rajamahal,3.5,Rathna Villas Rd Basavanagudi,Bangalore
Sri Lakshmi Vinayaka Comforts,4.3,Sannidhi Road Basavanagudi,Bangalore
Uma Paying Guest For Women,4.1,Subanna Garden Vijayanagar,Bangalore
Sri Sai Pg Home For Ladies,4.5,Vinayaka Jp Nagar 7th Phase,Bangalore
Sakshi Living (Girls Hostel),3.5,Bank Colony Chandra Layout,Bangalore
Vinayaka PG Accommodation,4.8,2nd Cross Chandra Layout,Bangalore
VBS Hostel For Women,3.9,5th Main Jayanagar 5th Block,Bangalore
Bhagyalakshmi Paying Guest,4.5,Colony Kumaraswamy Layout,Bangalore
Sunshine Ladies Pg,3.8,1st 'B' Main Yediyur,Bangalore
My Home PG For Girls,4.7,3rd Main Rajajinagar,Bangalore
Chegus Perennial Pg For Men and Women,3.7,(Shanthi Nagar) Lalbagh Road,Bangalore
Basaveshwara P.G.,4.8,8th Main Vasanth Nagar,Bangalore
SPD PG For Ladies and Gents and Real Estate,3.4,Ratna Avenue Richmond Road,Bangalore
Shardha Pg For Mens and Womens,4.7,Jayanagar 4th Block Jayanagar,Bangalore
Anugrahha Men and Women Pg,4.3,Cross Street Tambaram Sanatorium,Chennai
Naannaa Elite,3.6,1st Cross Street Mogappair East,Chennai
Nithya Pradha Mens Hostel,4.062857143,Street Canal Road Kottivakkam,Chennai
Sri Venkateshwara Mens Hostel,4.087142857,High Road Choolaimedu,Chennai
Kavitha Mens Hostel,4.475714286,Velachery Road Velacheri,Chennai
Jpr Mens Pg,4.487857143,Mumoorthi Nagar Chromepet,Chennai
Blessing Bells PG & Mansion,4.560714286,Nd Main Road Virugambakkam,Chennai
Sriram Gents Pg Accomodation,4.621428571,KTK Town Sholinganallur,Chennai
Roja Hostel,4.67,5h Street Perumbakkam,Chennai
Ammaa Residency,4.84,Mount Poonamallee Road Porur,Chennai
Naannaa Elite,4.864285714,Padmanaba Nagar Choolaimedu,Chennai
Eshwar Grand Womens PG,4.1,Anjaya Nagar Gachibowli,Hyderabad
Akshara Ladies Hostel,4.6,Old Alwal-alwal,Hyderabad
At Ease Pg Home For Women,3.8,Hig Gachibowli,Hyderabad
Sri Vijaya Ladies & Boys Hostel,4.6,P J Nagar Gachibowli,Hyderabad
Celluloid Premium ForWomens,4.7,Madhura Nagar Colony Raidurgam,Hyderabad
Akshara Ladies Hostel,3.8,Metro Pillar No C-1728 Madhapur,Hyderabad
Rekha Womens Pg Accommodation,4.2,Phase Bus Stop. KPHB Colony,Hyderabad
Zen Living Premium Co-living Spaces For Women,4.2,Green Land Colony Gachibowli,Hyderabad
Celluloid Luxury P G Accommodation,4.2,Mythri Nilayam Kondapur,Hyderabad
Diya Womens Pg  Hostel,4.9,Cyberhills Gachibowli,Hyderabad
Celluloid Luxury P G Accommodation,3.9,R K Puram Kothapet,Hyderabad
Rekha Womens Pg Accommodation,4.7,Nagar Main Road Santosh Nagar,Hyderabad
Honey PG Womens Hostel,4.2,KPHB 9TH PHASE KPHB Colony,Hyderabad
Newgen Residency,4.4,Dairy Farm Road Alwal,Hyderabad
Sri Vijaya Ladies & Boys Hostel,4.6,P J Nagar Gachibowli,Hyderabad
Shine Executive Boys Hostel,3.7,Karmanghat Road LB Nagar,Hyderabad
Home Stay Boys Hostel,4,Himayat Nagar,Hyderabad
TRENDS PG FOR MEN,3.8,Dlf Lane Gachibowli,Hyderabad
Sri Tirumala Executive Mens PG Hostel,4,Hig Hospital Lane Gachibowli,Hyderabad
Sri Jai Jagadamba Executive Boys Hostel & Mess,4.6,Narasimhapuri Colony Kothapet,Hyderabad
Happy Mens Pg Hostel,4,Konapur Road Gachibowli,Hyderabad
Ramesh Paying Guest Accomodation,3.6,Link Road Mulund West,Mumbai
Ansh Paying Guest,4.6,Ghansoli,Mumbai
Happy Home Residency,4.4,E Punjab Society Andheri East,Mumbai
Mahalaxmi Hostel,4.1,Sector 18 A Nerul,Mumbai
Happy House,4.4,St Antony Street Kalina,Mumbai
Welcome Home Pg,4.6,Andheri West,Mumbai
Rahul Seaman Hostel,4.5,Sector 14 Cbd Belapur,Mumbai
Shared Homes Services Pvt Ltd,4.4,Bhandup East,Mumbai
Shah & Nahta Paying Guest,4,Shankar Pada Road Kandivali West,Mumbai
Divine Mercy Enterprise,4.8,Ekta Nagar Kandivali West,Mumbai
Ashiyana Pg,4.5,Vashi,Mumbai
Happy Home Residency,4.4,E Punjab Society Andheri East,Mumbai
Urmila Pg Services,4.6,Sector-6 Kopar Khairane,Mumbai
Srushti Paying Guest,4.3,Sector 05 Kopar Khairane,Mumbai
Rahul Seaman Hostel,4.5,Sector 14 Cbd Belapur,Mumbai
Happy House,4.4,St Antony Street Kalina,Mumbai
Ramesh Paying Guest Accomodation,3.6,Link Road Mulund West,Mumbai
Mahalaxmi Hostel,4.1,Sector 18 A Nerul,Mumbai
Bhoomi Solutions,4.5,Poisar Road Kandivali West,Mumbai
Stiffener Effort And Entertainment Pg,4.8,MG Road Goregaon West,Mumbai
Ansh Paying Guest,4.6,Ghansoli,Mumbai
Welcome Home Pg,4.6,Andheri West,Mumbai
Romara Real Estate Consultancy,3.9,Thane West,Mumbai
Quality Paying Guest Services,4.5,Sector 12A Kopar Khairane,Mumbai
Happy Home Residency,4.4,E Punjab Society Andheri East,Mumbai
Gmd Business Link Pvt Ltd,3.9,Bandra Kurla Complex Bandra East,Mumbai
AARNIK S STAYS (MEN'S HOSTEL). 5 Star Hostel With World Class Amenities,3.1,Sector- 11 Cbd Belapur,Mumbai
Urmila Pg Services,4.6,Sector-6 Kopar Khairane,Mumbai
New Bombay PG,4.6,Sector -4 Ghansoli,Mumbai
Rahul Seaman Hostel,4.5,Sector 14 Cbd Belapur,Mumbai
P G Hostels,3.4,S A Brelvi Road Fort,Mumbai
Happy House,4.4,St Antony Street Kalina,Mumbai
Jagtap Hostel & Paying Guest,3.6,Fanas Pada Cbd Belapur,Mumbai
Star Dormitory,4,New Link Road Andheri West,Mumbai
Stiffener Effort And Entertainment Pg,4.8,MG Road Goregaon West,Mumbai
Bhoomi Solutions,4.5,Poisar Road Kandivali West,Mumbai
V R Guest House,3.9,Nagar Road Vadgaon Sheri,Pune
Dhanashree Pg,4.7,Choudari Vasti Kharadi,Pune
Gurukrupa Girls Pg,4.4,Kasarwadi,Pune
Silver Homebase Executive Girls PG,4.8,Pimple Saudagar Pimple Saudagar,Pune
Durvankur PG Accommodations,4.4,Dhanori,Pune
The PM's Girls Hostel,4.4,Karve Nagar,Pune
Aryan Guest House,3.7,IT Park Phase 1 Hinjewadi,Pune
MD PG SERVICES,4.5,Keshav Nagar Road Mundhwa,Pune
Niwara Facility Services LLP,3.5,Sudatta Apartment Karve Nagar,Pune
Mangalmurti Girls PG,5,Patrakar Nagar Road,Pune
Aruna Ladies and Gents Pg Services,3.6,Yasnodhan Lane Hadapsar,Pune
Shanta Pg,3.5,Karve Nagar,Pune
Laxmi Krupa Paying Guest,4.3,Wakad Bridge Hinjewadi,Pune
Durvankur PG Accommodations,4.4,Dhanori,Pune
MD PG SERVICES,4.5,Keshav Nagar Road Mundhwa,Pune
The Nest Grandeur,4.4,Balewadi High Street Baner,Pune
Ss Pg,4.1,Malwadi Road Hadapsar,Pune
Aryan Guest House,3.7,IT Park Phase 1 Hinjewadi,Pune
Shree Ganesh Paying Guest,3.9,Alandi Road Dighi,Pune
Shiv Sai Amul Gents and Ladies Pg,4.5,Line No 3 Kharadi,Pune
Home Away From Home,3.9,Napania Road Nipania Indore,Indore
Siddhivinayak Hostel and Pg,4.7,Jain Mandir Lane Anurag Nagar,Indore
Wow Pg Girls Hostel,4.7,Mahalaxmi Nagar,Indore
Sr Greens Girls Pg,4.7,Vijay Nagar,Indore
Chandrakanta Girls PG & Hostel,5,Scheme No. 54 Vijay Nagar,Indore
A B Hostel,4.1,Greater Noida,Delhi
Living Siving,4.5,D-196 Noida Sector 55,Delhi
Amaira Pg,4.2,Sector 34,Delhi
Home Sweet Home Pg,4.3,Gurgaon Sector 17,Delhi
Book My Bed,3.6,E-80 South Extension 1,Delhi
Sanwaria Pg,4.1,Main Road F Pocket Sarita Vihar,Delhi
Angels Pg,4.7,Ramphal Chowk Dwarka Sector 7,Delhi
ATITHI AASHRYA PG,3.7,Faridabad Sector28 Sector 19,Delhi
COMFORT PG ACCOMMODATION,4.9,Kalyan Singh Chowk Faridabad NIT,Delhi
Phogat Pg,4.8,Govind Puri-Kalkaji,Delhi
Balaji PG,3.6,Sohna Road Gurgaon Sector 48,Delhi
Punjabi Pg,4,B 224 Lg Chowk,Delhi
Chaudhary Pg Accommodation,4.2,Ug 1 Shalimar Garden Extention 1,Delhi
Vidya Mansion,4.6,Faridabad Sector 3,Delhi
Krishna Paying Guest,4.2,E 85 Jhilmil Colony,Delhi
Veena Pg,3.9,New Rohtak Road Karol Bagh,Delhi
Guru Ji Paying Guest,4.2,Ramesh Nagar,Delhi
Shri Sai Pg,4.9,Nit:-5 Faridabad NIT,Delhi
A B Hostel,4.1,Greater Noida,Delhi
Living Siving,4.5,D-196 Noida Sector 55,Delhi
Amaira Pg,4.2,Sector 34,Delhi
Home Sweet Home Pg,4.3,Gurgaon Sector 17,Delhi
Sanwaria Pg,4.1,Main Road F Pocket Sarita Vihar,Delhi
Book My Bed,3.6,E-80 South Extension 1,Delhi
Angels Pg,4.7,Ramphal Chowk Dwarka Sector 7,Delhi
